,Stock,Total Returns,Annualized Returns,Maximum Drawdown,Sharpe Ratio,Win/Loss Ratio,Number of Trades
0,AXISBANK.NS,15.438356515783747,2.9801302356186943,-56.51898256252411,0.0998621682287916,0.4999999999999999,12
1,BAJFINANCE.NS,9.274364036279312,1.8307026883938038,-54.792802115351314,0.051626971189642885,0.6666666666666666,10
2,BHARTIARTL.NS,-9.142803147088644,-1.9420993686565247,-51.965303708689994,0.0,0.5555555555555557,14
3,HCLTECH.NS,-24.180838013427728,-5.504889587402384,-42.70161920903549,0.0,0.4999999999999999,12
4,HDFCBANK.NS,4.163453198315436,0.8378548446544398,-44.90618636658047,0.034594867929299215,0.5555555555555557,14
5,HINDUNILVR.NS,-55.160865835058615,-15.13119887356571,-60.402879413781065,0.0,0.28571428571428575,18
6,ICICIBANK.NS,105.99620452435303,15.930704897088098,-30.014554323920727,0.4750700494682919,1.0,8
7,INFY.NS,-27.744170394531242,-6.430762265357403,-58.230820501228166,0.0,0.4999999999999999,15
8,ITC.NS,-35.69286089364318,-8.634909511119226,-48.880779914656316,0.0,0.4444444444444445,13
9,KOTAKBANK.NS,-56.25651307998051,-15.559563827213474,-64.31481606872984,0.0,0.3333333333333333,16
10,LICI.NS,-22.639511991894526,-11.134107513134827,-53.97373053335486,0.0,0.25,5
11,LT.NS,57.27623126464842,9.705030350680822,-36.203356357095,0.37619156630810424,0.4999999999999999,9
12,M&M.NS,69.21753303244019,11.35954809225359,-45.6052151643517,0.36468771140729683,0.5714285714285715,11
13,MARUTI.NS,-23.112791829101543,-5.2341257925446865,-52.13670262397139,0.0,0.7142857142857144,12
14,NTPC.NS,90.87896678862148,14.137350825418427,-43.79105122323752,0.4617451962662165,0.5714285714285715,11
15,ONGC.NS,121.92790809985962,17.710735798176948,-49.479352817911085,0.47339542853479716,1.333333333333333,7
16,RELIANCE.NS,-64.46820459719237,-19.07535903977212,-74.1697641026693,0.0,0.28571428571428575,18
17,SBIN.NS,247.61993519030165,29.026970861148605,-29.515011057583983,0.7676289041106453,1.333333333333333,14
18,SUNPHARMA.NS,-6.676314891979983,-1.4033917443726063,-45.84731504818789,0.0,0.7142857142857144,12
19,TATAMOTORS.NS,-39.12108196544341,-9.653009772105904,-90.5888490702382,0.0,0.25,10
20,TCS.NS,-13.242953681787114,-2.863932202593966,-37.27196815522941,0.0,0.4999999999999999,15
